Date,Close/Last,Volume,Open,High,Low
04/26/2024,$169.30,44838350,$169.88,$171.34,$169.18
04/25/2024,$169.89,50558330,$169.525,$170.61,$168.1511
04/24/2024,$169.02,48251840,$166.54,$169.30,$166.21
04/23/2024,$166.90,49537760,$165.35,$167.05,$164.92
04/22/2024,$165.84,48116440,$165.515,$167.26,$164.77
04/19/2024,$165.00,68149380,$166.21,$166.40,$164.075
04/18/2024,$167.04,43122900,$168.03,$168.64,$166.55
04/17/2024,$168.00,50901210,$169.61,$170.65,$168.00
04/16/2024,$169.38,73711240,$171.75,$173.76,$168.27
04/15/2024,$172.69,73531770,$175.36,$176.63,$172.50
04/12/2024,$176.55,101670900,$174.26,$178.36,$174.21
04/11/2024,$175.04,91070280,$168.34,$175.46,$168.16
04/10/2024,$167.78,49709340,$168.80,$169.09,$167.11
04/09/2024,$169.67,42451210,$168.70,$170.08,$168.35
04/08/2024,$168.45,37425510,$169.03,$169.20,$168.24
04/05/2024,$169.58,42104830,$169.59,$170.39,$168.95
04/04/2024,$168.82,53704390,$170.29,$171.92,$168.82
04/03/2024,$169.65,47691720,$168.79,$170.68,$168.58
04/02/2024,$168.84,49329480,$169.08,$169.34,$168.2302
04/01/2024,$170.03,46240500,$171.19,$171.25,$169.475
03/28/2024,$171.48,65672690,$171.75,$172.23,$170.51
03/27/2024,$173.31,60273270,$170.41,$173.60,$170.11
